Inguinal hernia	HP:0000023
Sagging uterus	HP:0000139
Uterine prolapse	HP:0000139
Glossal hypertrophy	HP:0000158
Hypertrophy of the tongue	HP:0000158
Lingual hyperplasia	HP:0000158
Lingual hypertrophy	HP:0000158
Hyperplasia of the tongue	HP:0000158
Large tongue	HP:0000158
Macroglossia	HP:0000158
Tongue hypertrophy	HP:0000158
Abnormally large tongue	HP:0000158
Increased size of tongue	HP:0000158
Limited jaw mobility	HP:0000211
Decrease in mandibular opening	HP:0000211
Limited mandibular opening	HP:0000211
Decrease in jaw opening	HP:0000211
Limited mandibular mobility	HP:0000211
Decrease in mandibular mobility	HP:0000211
Decrease in mandibular movement	HP:0000211
Limited mouth opening	HP:0000211
Limited jaw movement	HP:0000211
Trismus	HP:0000211
Pain of muscles of mastication	HP:0000211
Lockjaw	HP:0000211
Decrease in jaw movement	HP:0000211
Decrease in jaw mobility	HP:0000211
Limited jaw opening	HP:0000211
Abnormal cranial suture/fontanelle morphology	HP:0000235
Abnormality of the fontanelles or cranial sutures	HP:0000235
Abnormality of the anterior fontanelle	HP:0000236
Abnormality of the forehead soft spot	HP:0000236
Abnormal anterior fontanelle morphology	HP:0000236
Small forehead fontanel	HP:0000237
Small anterior fontanel	HP:0000237
Small anterior fontanelle	HP:0000237
Large fontanel	HP:0000239
Large fontanelles	HP:0000239
Large fontanels	HP:0000239
Wide bregma sutures	HP:0000239
Large, late-closing fontanelle	HP:0000239
Persistent wide fontanel	HP:0000239
Large bregma sutures	HP:0000239
Large fontanelle	HP:0000239
Enlarged fontanelles	HP:0000239
Wide fontanelles	HP:0000239
Abnormality of cranium size	HP:0000240
Abnormality of head size	HP:0000240
Abnormality of skull size	HP:0000240
Parietal bossing	HP:0000242
Biparietal bossing	HP:0000242
Bossing of parietal bone	HP:0000242
Wedge shaped skull	HP:0000243
Triangular head shape	HP:0000243
Wedge shaped head	HP:0000243
Wedge shaped cranium	HP:0000243
Triangular cranium shape	HP:0000243
Trigonocephaly	HP:0000243
Triangular skull shape	HP:0000243
Brachy-turricephaly	HP:0000244
Brachyturricephaly	HP:0000244
High, prominent forehead	HP:0000244
Turribrachycephaly	HP:0000244
Abnormality of the sinuses of the head	HP:0000245
Abnormality of the sinuses	HP:0000245
Abnormality of the paranasal sinuses	HP:0000245
Abnormal paranasal sinus morphology	HP:0000245
Sinus infection	HP:0000246
Sinus inflammation	HP:0000246
Sinus disease	HP:0000246
Sinusitis	HP:0000246
Broad head shape	HP:0000248
Short and broad skull	HP:0000248
Wide cranium shape	HP:0000248
Wide skull shape	HP:0000248
Broad cranium shape	HP:0000248
Brachycephaly	HP:0000248
Wide head shape	HP:0000248
Broad skull shape	HP:0000248
Dense skull cap	HP:0000250
Dense calvaria	HP:0000250
small cranium	HP:0000252
small calvarium	HP:0000252
Abnormally small head	HP:0000252
Decreased size of skull	HP:0000252
Reduced head circumference	HP:0000252
Small head	HP:0000252
Decreased circumference of cranium	HP:0000252
Small skull	HP:0000252
Decreased size of head	HP:0000252
Abnormally small cranium	HP:0000252
Abnormally small skull	HP:0000252
Decreased size of cranium	HP:0000252
Small head circumference	HP:0000252
Microcephaly	HP:0000252
Microcephaly, postnatal, progressive	HP:0000253
Progressive microcephaly	HP:0000253
Progressively abnormally small cranium	HP:0000253
Progressively abnormally small skull	HP:0000253
Microcephaly, progressive	HP:0000253
Acute sinusitis	HP:0000255
Big head	HP:0000256
Megacephaly	HP:0000256
Increased size of head	HP:0000256
Increased size of skull	HP:0000256
Macrocephalus	HP:0000256
Big cranium	HP:0000256
Big skull	HP:0000256
Increased size of cranium	HP:0000256
Large head circumference	HP:0000256
Big calvaria	HP:0000256
Macrocephaly	HP:0000256
Large cranium	HP:0000256
Large head	HP:0000256
Macrocrania	HP:0000256
Large calvaria	HP:0000256
Large skull	HP:0000256
Large anterior fontanel	HP:0000260
Large anterior fontanelle	HP:0000260
Large open anterior fontanel	HP:0000260
Wide open anterior fontanelle	HP:0000260
Wide anterior fontanelle	HP:0000260
Wide anterior fontanel	HP:0000260
Large anterior fontanels	HP:0000260
Large open anterior fontanelle	HP:0000260
Wider-than-typical soft spot of skull	HP:0000260
Tower cranium shape	HP:0000262
Turricephaly	HP:0000262
Tall shaped head	HP:0000262
Turricephalus	HP:0000262
Tall shaped skull	HP:0000262
Tower skull shape	HP:0000262
Tall shaped cranium	HP:0000262
Oxycephaly	HP:0000263
Acrocephaly	HP:0000263
Abnormality of mastoid process of temporal bone	HP:0000264
Abnormality of the mastoid	HP:0000264
Abnormal mastoid morphology	HP:0000264
Mastoiditis	HP:0000265
Malformation of head shape	HP:0000267
Asymmetry of cranium	HP:0000267
Abnormality of cranium shape	HP:0000267
Abnormality of cranial vault shape	HP:0000267
Asymmetry of head	HP:0000267
Cranial asymmetry	HP:0000267
Cranial vault asymmetry	HP:0000267
Malformation of cranium shape	HP:0000267
Uneven head shape	HP:0000267
Malformation of cranial vault shape	HP:0000267
Abnormality of head shape	HP:0000267
Dolichocephaly	HP:0000268
Narrow skull shape	HP:0000268
Turridolichocephaly	HP:0000268
Tall and narrow skull	HP:0000268
Narrow head shape	HP:0000268
Narrow cranium shape	HP:0000268
Long, narrow head	HP:0000268
Large dolichocephalic skull	HP:0000268
Protruding occiput	HP:0000269
Protruding back of the head	HP:0000269
Prominent back of the head	HP:0000269
Prominent posterior head	HP:0000269
Prominent occiput	HP:0000269
Prominent posterior skull	HP:0000269
Prominent back of the skull	HP:0000269
Prominent posterior cranium	HP:0000269
Delayed cranial suture closure	HP:0000270
Delayed closure of fontanel	HP:0000270
Late-closing fontanelle	HP:0000270
Open sutures	HP:0000270
Delayed fontanelle closure	HP:0000270
Late closing fontanelles	HP:0000270
Late closure of fontanelle	HP:0000270
Delayed closure of fontanelles	HP:0000270
Broad late closing cranial sutures	HP:0000270
Delayed closure of fontanels	HP:0000270
Delayed closure of the fontanelles	HP:0000270
Delayed fontanel closure	HP:0000270
Malar hypoplasia	HP:0000272
Underdevelopment of malar bone	HP:0000272
Hypotrophic malar bone	HP:0000272
Zygomatic flattening	HP:0000272
Flat cheekbone	HP:0000272
Decreased size of malar bone	HP:0000272
Depressed malar region	HP:0000272
Malar flattening	HP:0000272
Abnormal mandible morphology	HP:0000277
Abnormality of the mandible	HP:0000277
Malformation of the mandible	HP:0000277
Deformity of the lower jaw bone	HP:0000277
Abnormality of the lower jaw bone	HP:0000277
Deformity of the mandible	HP:0000277
Malformation of the lower jaw bone	HP:0000277
Anomaly of the mandible	HP:0000277
Retrognathia of lower jaw	HP:0000278
Mandibular retrognathia	HP:0000278
Weak jaw	HP:0000278
Receding lower jaw	HP:0000278
Receding chin	HP:0000278
Lower jaw retrusion	HP:0000278
Mandibular retrusion	HP:0000278
Receding mandible	HP:0000278
Weak chin	HP:0000278
Retrognathia	HP:0000278
Retrogenia	HP:0000278
Retrusion of lower jaw	HP:0000278
Lower jaw retrognathia	HP:0000278
Facial fat hypertrophy	HP:0000287
Increased volume of facial adipose tissue	HP:0000287
Increased amount of facial adipose tissue	HP:0000287
Facial fat hyperplasia	HP:0000287
Increased facial adipose tissue	HP:0000287
Hyperplasia of facial adipose tissue	HP:0000287
Hypertrophy of facial adipose tissue	HP:0000287
Increased amount of facial fat	HP:0000287
Malformation of facial adipose tissue	HP:0000291
Abnormality of facial fat	HP:0000291
Abnormality of facial adipose tissue	HP:0000291
Deformity of facial adipose tissue	HP:0000291
Loss of facial adipose tissue	HP:0000292
Decreased volume of facial adipose tissue	HP:0000292
Decreased amount of facial adipose tissue	HP:0000292
Loss of facial subcutaneous adipose tissue	HP:0000292
Loss of facial fat	HP:0000292
Decreased amount of facial fat	HP:0000292
Loss of subcutaneous adipose tissue from face	HP:0000292
Facial hypotonia	HP:0000297
Atony of facial musculature	HP:0000297
Decreased facial muscle tone	HP:0000297
Low facial muscle tone	HP:0000297
Reduced facial muscle tone	HP:0000297
Hypotonic facies	HP:0000297
Abnormality of facial musculature	HP:0000301
Abnormality of facial muscles	HP:0000301
Facial muscle issue	HP:0000301
Macromandible	HP:0000303
Prognathia	HP:0000303
Increased projection of lower jaw	HP:0000303
Prognathism	HP:0000303
Mandible prognathism	HP:0000303
Enlarged mandible	HP:0000303
Prominent chin	HP:0000303
Mandibular prognathia	HP:0000303
Increased projection of mandible	HP:0000303
Big lower jaw	HP:0000303
Mandibular prognathism	HP:0000303
Large lower jaw	HP:0000303
Hypertrophy of mandible	HP:0000303
Prominent mandible	HP:0000303
Relative mandibular prognathism	HP:0000303
Increased size of lower jaw	HP:0000303
Hyperplasia of lower jaw	HP:0000303
Increased size of mandible	HP:0000303
Mandibular hyperplasia	HP:0000303
Lower jaw hyperplasia	HP:0000303
Prominent jaw	HP:0000303
Mandibular excess	HP:0000303
Hypertrophy of lower jaw	HP:0000303
Mandibular macrognathia	HP:0000303
Enlargement of mandible	HP:0000303
Large mandible	HP:0000303
Big mandible	HP:0000303
Lower jaw excess	HP:0000303
Prominent lower jaw	HP:0000303
Small retruded chin	HP:0000308
Retromicrognathia	HP:0000308
Microretrognathia	HP:0000308
Facial myokymia	HP:0000317
Involuntary facial quivering	HP:0000317
Involuntary facial contraction	HP:0000317
Abnormality of the upper jaw bone	HP:0000326
Deformity of the maxilla	HP:0000326
Abnormality of the upper jaw bones	HP:0000326
Malformation of the upper jaw bones	HP:0000326
Anomaly of the maxilla	HP:0000326
Abnormal maxilla morphology	HP:0000326
Malformation of the maxilla	HP:0000326
Deformity of the upper jaw bones	HP:0000326
Abnormality of the maxilla	HP:0000326
Micromaxilla	HP:0000327
Hypotrophic upper jaw bones	HP:0000327
Decreased projection of maxilla	HP:0000327
Upper jaw deficiency	HP:0000327
Maxillary micrognathia	HP:0000327
Maxillary hypoplasia	HP:0000327
Hypotrophic maxilla	HP:0000327
Upper jaw retrusion	HP:0000327
Small upper jaw	HP:0000327
Retrusion of upper jaw bones	HP:0000327
Maxillary deficiency	HP:0000327
Decreased projection of upper jaw	HP:0000327
Maxillary retrusion	HP:0000327
Small maxilla	HP:0000327
Decreased size of upper jaw	HP:0000327
Hypoplasia of upper jaw bones	HP:0000327
Hypoplastic maxillary bones	HP:0000327
Maxillary retrognathia	HP:0000327
Retrognathia of upper jaw	HP:0000327
Decreased size of maxilla	HP:0000327
Small upper jaw bones	HP:0000327
Hypoplasia of the maxilla	HP:0000327
Deficiency of upper jaw bones	HP:0000327
Hypomimic face	HP:0000338
Decreased facial muscle movement	HP:0000338
Dull facial expression	HP:0000338
Hypomimia	HP:0000338
Decreased facial expressions	HP:0000338
Robin mandible	HP:0000347
Hypotrophic mandible	HP:0000347
Mandibular micrognathia	HP:0000347
Mandibular hypoplasia	HP:0000347
Lower jaw hypoplasia	HP:0000347
Little lower jaw	HP:0000347
Small mandible	HP:0000347
Underdevelopment of lower jaw	HP:0000347
Decreased size of lower jaw	HP:0000347
Micrognathia of lower jaw	HP:0000347
Decreased projection of lower jaw	HP:0000347
Little mandible	HP:0000347
Deficiency of lower jaw	HP:0000347
Hypoplasia of lower jaw	HP:0000347
Mandibular deficiency	HP:0000347
Underdevelopment of mandible	HP:0000347
Hypotrophic lower jaw	HP:0000347
Severe hypoplasia of mandible	HP:0000347
Decreased projection of mandible	HP:0000347
Micromandible	HP:0000347
Small lower jaw	HP:0000347
Micrognathia	HP:0000347
Hypoplasia of mandible	HP:0000347
Hypoplastic mandible	HP:0000347
Small jaw	HP:0000347
Decreased size of mandible	HP:0000347
Lower jaw deficiency	HP:0000347
Hypoplastic mandible condyle	HP:0000347
Floppy neck	HP:0000467
Flaccid neck	HP:0000467
Neck muscle weakness	HP:0000467
Increased adipose tissue around the neck	HP:0000468
Increased fat around the neck	HP:0000468
Decreased cervical height	HP:0000470
Cervical shortening	HP:0000470
Decreased length of neck	HP:0000470
Short neck	HP:0000470
Decreased cervical length	HP:0000470
Spasmodic torticollis	HP:0000473
Loxia	HP:0000473
Torticollis	HP:0000473
Wry neck	HP:0000473
Cervical dystonia	HP:0000473
Corneal scarring	HP:0000559
Small shallow orbits	HP:0000586
Shallow eye sockets	HP:0000586
Decreased depth of orbits	HP:0000586
Decreased depth of eye sockets	HP:0000586
Shallow orbits	HP:0000586
Abnormality of dental enamel	HP:0000682
Malformation of dental enamel	HP:0000682
Dystrophic tooth enamel	HP:0000682
Abnormal dental enamel morphology	HP:0000682
Enamel abnormalities	HP:0000682
Malformation of tooth enamel	HP:0000682
Defective tooth enamel	HP:0000682
Enamel abnormality	HP:0000682
Abnormal tooth enamel	HP:0000682
Grey coloured tooth enamel	HP:0000683
Greyish enamel	HP:0000683
Grayish enamel	HP:0000683
Grey tooth shade	HP:0000683
Gray colored tooth enamel	HP:0000683
Gray tooth shade	HP:0000683
Odontodysplasia	HP:0000694
Teeth with type iii dentinogenesis imperfecta	HP:0000694
Ghost teeth	HP:0000694
Teeth with dentinal dysplasia	HP:0000694
Shell teeth	HP:0000694
Teeth with thin dentin and large pulp chambers	HP:0000694
Dentinogenesis imperfecta	HP:0000703
Amelogenesis imperfecta	HP:0000705
Abnormality of the thorax	HP:0000765
Abnormality of the chest	HP:0000765
Structural abnormality of the chest wall	HP:0000765
Abnormal thorax morphology	HP:0000765
Abnormal sternum morphology	HP:0000766
Abnormality of the sternum	HP:0000766
Pectus excavatum or carinatum	HP:0000766
Sternal anomalies	HP:0000766
Pectus deformity	HP:0000766
Pectus carinatum or pectus excavatum	HP:0000766
Pectus excavatum/carinatum	HP:0000766
Pectus deformities	HP:0000766
Pectus excavatum or pectus carinatum	HP:0000766
Funnel chest	HP:0000767
Pectus excavatum	HP:0000767
Pigeon chest	HP:0000768
Pectus carinatum	HP:0000768
Rib anomalies	HP:0000772
Rib abnormalities	HP:0000772
Abnormality of the ribs	HP:0000772
Abnormal rib morphology	HP:0000772
Rib hypoplasia	HP:0000773
Hypoplastic ribs	HP:0000773
Short ribs	HP:0000773
Low chest circumference	HP:0000774
Narrow thorax	HP:0000774
Reduced anterior-posterior chest diameter	HP:0000774
Narrow chest	HP:0000774
Narrow shoulders	HP:0000774
Diaphragmatic defect	HP:0000775
Diaphragm issues	HP:0000775
Abnormality of the diaphragm	HP:0000775
Congenital diaphragmatic hernia	HP:0000776
Diaphragmatic hernia	HP:0000776
Abnormal scapula morphology	HP:0000782
Abnormality of the shoulder blade	HP:0000782
11 pairs of ribs	HP:0000878
Short sternum	HP:0000879
Hypoplastic sternum	HP:0000879
Hypoplastic scapulae	HP:0000882
Hypoplastic scapula	HP:0000882
Small shoulder blade	HP:0000882
Small scapula	HP:0000882
Short scapulae	HP:0000882
Small scapulae	HP:0000882
Scapular hypoplasia	HP:0000882
Slender ribs	HP:0000883
Thin ribs	HP:0000883
Sternal protrusion	HP:0000884
Prominent sternum	HP:0000884
Broad ribs	HP:0000885
Wide ribs	HP:0000885
Deformed rib cage	HP:0000886
Cupped ribs	HP:0000887
Rib flaring	HP:0000887
Rib cupping	HP:0000887
Horizontal ribs	HP:0000888
Abnormal collarbone	HP:0000889
Abnormal clavicles	HP:0000889
Abnormal clavicle morphology	HP:0000889
Abnormality of the clavicle	HP:0000889
Long collarbone	HP:0000890
Elongated clavicles	HP:0000890
Long clavicles	HP:0000890
Cervical ribs	HP:0000891
Split ribs	HP:0000892
Bifid ribs	HP:0000892
Cleft ribs	HP:0000892
Bulging of the costochondral junction	HP:0000893
Short clavicles	HP:0000894
Hypoplastic clavicles	HP:0000894
Short collarbone	HP:0000894
Clavicular hypoplasia	HP:0000894
Underdeveloped clavicles	HP:0000894
Hook-shaped clavicle	HP:0000895
Handlebar clavicle	HP:0000895
Hook-shaped collarbone	HP:0000895
Lateral clavicle hook	HP:0000895
Hooked clavicle	HP:0000895
Rib exostoses	HP:0000896
Rachitic rosary	HP:0000897
Thickened ribs	HP:0000900
Rib fusion	HP:0000902
Fused ribs	HP:0000902
Anterior flaring of ribs	HP:0000904
Flaring of rib cage	HP:0000904
Progressive acroosteolysis of the clavicle	HP:0000905
Progressive clavicular acroosteolysis	HP:0000905
Anteriorly splayed ribs	HP:0000907
Anterior rib cupping	HP:0000907
Anterior cupping of ribs	HP:0000907
Wide-cupped costochondral junctions	HP:0000910
Flat glenoid fossa	HP:0000911
Sprengel deformity	HP:0000912
Congenital, upward displacement of the scapula	HP:0000912
High shoulder blade	HP:0000912
Sprengel anomaly	HP:0000912
High scapula	HP:0000912
Posterior rib fusion	HP:0000913
Broad chest	HP:0000914
Shield chest	HP:0000914
Pectus excavatum of inferior sternum	HP:0000915
Pectus excavatum inferiorly	HP:0000915
Broad collarbone	HP:0000916
Broad clavicles	HP:0000916
Superior pectus carinatum	HP:0000917
Pectus carinatum superiorly	HP:0000917
Scapulae exostoses	HP:0000918
Shoulder bone exostoes	HP:0000918
Scapular exostoses	HP:0000918
Costochondral juctions abnormal	HP:0000919
Abnormality of the costochondral junction	HP:0000919
Wide costochondral junctions	HP:0000920
Costochondral thickening	HP:0000920
Enlarged costochondral junctions	HP:0000920
Widened costochondral junction	HP:0000920
Prominent costochondral junction	HP:0000920
Enlargement of the costochondral junction	HP:0000920
Decreased rib number	HP:0000921
Missing ribs	HP:0000921
Absent ribs	HP:0000921
Posterior rib cupping	HP:0000922
Anterior and posterior rib cupping	HP:0000922
Abnormality of the skeletal system	HP:0000924
Skeletal abnormalities	HP:0000924
Skeletal anomalies	HP:0000924
Abnormal spine	HP:0000925
Abnormality of the vertebral column	HP:0000925
Abnormal vertebral column	HP:0000925
Abnormality of the spine	HP:0000925
Abnormality of the backbone	HP:0000925
Flat vertebral bodies	HP:0000926
Platyspondyly	HP:0000926
Flattened vertebral bodies	HP:0000926
Flattened vertebrae	HP:0000926
Abnormality of skeletal maturation	HP:0000927
Abnormal skull morphology	HP:0000929
Abnormality of the skull bones	HP:0000929
Abnormality of the skull	HP:0000929
Elevated imprint of the transverse sinuses	HP:0000930
Thinning and bulging of occipital bone over the transverse sinuses	HP:0000930
Thinning and bulging of posterior skull bones over the transverse sinuses	HP:0000930
Elevated imprint of occipital bone over the transverse sinuses	HP:0000930
Elevated imprint of posterior skull bones over the transverse sinuses	HP:0000930
Thinning and bulging of posterior fossa bones	HP:0000931
Thinning and bulging of the posterior fossa bones	HP:0000931
Thinning and bulging of occipital bone of skull	HP:0000931
Thinning and bulging of posterior skull bones	HP:0000931
Posterior fossa anomaly	HP:0000932
Abnormality of the posterior cranial fossa	HP:0000932
Abnormal posterior cranial fossa morphology	HP:0000932
Abnormality of the posterior fossa	HP:0000932
Posterior fossa cyst at the fourth ventricle	HP:0000933
Calcium deposits in joints	HP:0000934
Chondrocalcinosis	HP:0000934
Cortical thickening of the long bones	HP:0000935
Thickened cortex of long bones	HP:0000935
Broad cortex of long bones	HP:0000935
Thickened cortices of long bones	HP:0000935
Osteopenia	HP:0000938
Osteopaenia	HP:0000938
Generalized osteopenia	HP:0000938
Generalised osteopenia	HP:0000938
Osteoporosis	HP:0000939
Abnormal shape of shaft of long bone	HP:0000940
Abnormality of the diaphyses	HP:0000940
Abnormality involving the diaphyses of the limbs	HP:0000940
Abnormality of shaft of long bone of the limbs	HP:0000940
Anomaly of the limb diaphyses morphology	HP:0000940
Anomaly of the limb diaphyses	HP:0000940
