Pneumomediastinum	HP:0025421
Mediastinal widening	HP:0034501
Widened mediastinum	HP:0034501
Narrow mediastinum	HP:0034502
Abnormality of the mediastinum	HP:0045026
Abnormal mediastinum morphology	HP:0045026
Abnormality of the thoracic cavity	HP:0045027
Swollen lymph nodes in center of chest	HP:0100721
Mediastinal lymphadenopathy	HP:0100721
Swollen lymph nodes in centre of chest	HP:0100721
Mediastinal shift	HP:6000012
Decreased delta-aminolevulinate dehydratase activity	None
Delta-aminolevulinate dehydratase activity low	None
Delta-aminolevulinate dehydratase deficiency	None
Decreased circulating calcitonin concentration	None
Calcitonin low in blood	None
Decreased CSF homovanillic acid concentration	None
Gamma-glutamyl transferase low in blood	None
Reduced gamma-glutamyltransferase level	None
Fatty infiltration of liver	None
Liver steatosis	None
Hepatic steatosis	None
Steatosis	None
Fatty liver	None
Abnormal urinary guanosine level	None
Abnormality of redox activity	None
Elevated urine manganese level	None
Fibroblast metachromasia	None
Increased urine sebacic acid concentration	None
Increased urine decanedioic acid concentration	None
Decreased level of D-mannose in urine	None
Impaired memory B cell generation	None
Elevated circulating 2-trans,4-cis-decadienoylcarnitine concentration	None
Abnormality of blood glucose concentration	None
Abnormal blood glucose concentration	None
Positive CSF VDRL test	None
Abnormal urinary isobutyrylglycine levels	None
Abnormal urine isobutyrylglycine concentration	None
Pharyngeal edema	None
Pharyngeal oedema	None
Throat swelling	None
Swollen throat	None
Abnormal blood creatinine level	None
Abnormal circulating creatinine concentration	None
Creatinine levels abnormal	None
Abnormal circulating creatinine level	None
Increased urinary polyhexose	None
Increased polyhexose concentration in urine	None
Reduced acetaldehyde dehydrogenase level	None
Delayed oxidation of acetaldehyde	None
Increased methionine in blood	None
Methioninemia	None
Hypermethioninemia	None
Abnormality of alanine metabolism	None
Abnormal circulating alanine concentration	None
MCP (membrane cofactor protein) low in blood	None
Decreased circulating CD46 concentration	None
Decreased circulating membrane cofactor protein concentration	None
Propionyl-CoA carboxylase deficiency	None
Decreased CSF valine concentration	None
Low valine levels in cerebrospinal fluid	None
Decreased beta galactosidase activity	None
Decreased beta-galactosidase activity	None
Beta-galactosidase-1 deficiency	None
Beta-galactosidase deficiency in fibroblasts and white blood cells	None
2,8-dihydroxyadenine crystalluria	None
2,8-dihydroxyadenine urinary crystals	None
Increased urinary renal tubular epithelial cell count	None
Elevated circulating erythritol concentration	None
Erythritol high in blood	None
VDRL reactive in blood circulation	None
Positive bloodstream VDRL test	None
VDRL positive in blood	None
Abnormality of lysosomal metabolism	None
Elevated urine 4,5-dihydroxyhexanoic acid level	None
Cutaneous lichen amyloidosis	None
Decreased serum iron	None
Hypoferremia	None
Low serum iron	None
Decreased circulating iron concentration	None
Increased CSF homovanillic acid concentration	None
Molybdenum cofactor deficiency	None
Elevated tissue non-specific alkaline phosphatase	None
Elevated tissue non-specific ALP	None
Elevated alkaline phosphatase, liver/bone/kidney	None
Increased circulating farnesol concentration	None
Hyperisoleucinemia	None
High blood isoleucine concentration	None
Decreased blood isoleucine concentration	None
Low blood isoleucine levels	None
Hypoisoleucinemia	None
Abnormal circulating alpha-fetoprotein concentration	None
Presence of xenobiotic	None
Coccidioidal antibodies present in blood	None
Anti-coccidioidal antibody positivity	None
Transient hypogammaglobulinemia of infancy	None
Newborn gammaglobulin deficiency	None
Platelet-activating factor acetylhydrolase deficiency	None
Renal Na+ wasting	None
Renal sodium wasting	None
Kidney sodium wasting	None
Renal Na wasting	None
Hyperimidodipeptiduria	None
Imidodipeptiduria	None
Elevated urine octanoic acid level	None
