Abnormality of taste sensation	HP:0000223
Hypogeusia	HP:0000224
Decreased taste	HP:0000224
Decreased taste sensation	HP:0000224
Hydrocephalus	HP:0000238
Hydrocephaly	HP:0000238
Nonsyndromal hydrocephalus	HP:0000238
Too much cerebrospinal fluid in the brain	HP:0000238
small cranium	HP:0000252
small calvarium	HP:0000252
Abnormally small head	HP:0000252
Decreased size of skull	HP:0000252
Reduced head circumference	HP:0000252
Small head	HP:0000252
Decreased circumference of cranium	HP:0000252
Small skull	HP:0000252
Decreased size of head	HP:0000252
Abnormally small cranium	HP:0000252
Abnormally small skull	HP:0000252
Decreased size of cranium	HP:0000252
Small head circumference	HP:0000252
Microcephaly	HP:0000252
Microcephaly, postnatal, progressive	HP:0000253
Progressive microcephaly	HP:0000253
Progressively abnormally small cranium	HP:0000253
Progressively abnormally small skull	HP:0000253
Microcephaly, progressive	HP:0000253
Facial myokymia	HP:0000317
Involuntary facial quivering	HP:0000317
Involuntary facial contraction	HP:0000317
Loss of smell	HP:0000458
Anosmia	HP:0000458
Lost smell	HP:0000458
Spasmodic torticollis	HP:0000473
Loxia	HP:0000473
Torticollis	HP:0000473
Wry neck	HP:0000473
Cervical dystonia	HP:0000473
Optic nerve hypoplasia	HP:0000609
Double ring sign	HP:0000609
Underdeveloped optic nerves	HP:0000609
Hypoplastic optic nerves	HP:0000609
Light hypersensitivity	HP:0000613
Photophobia	HP:0000613
Extreme sensitivity of the eyes to light	HP:0000613
Photodysphoria	HP:0000613
Blepharospasm	HP:0000643
Eyelid spasm	HP:0000643
Spontaneous closure of eyelid	HP:0000643
Eyelid twitching	HP:0000643
Involuntary closure of eyelid	HP:0000643
Abnormal visual evoked potential	HP:0000649
Abnormality of visual evoked potentials	HP:0000649
Abnormal visual evoked responses	HP:0000649
VEP abnormalities	HP:0000649
Abnormal vision evoked potentials	HP:0000649
Abnormal visual-evoked potentials	HP:0000649
Abnormal amplitude of pattern reversal visual evoked potentials	HP:0000650
Ocular motor apraxia	HP:0000657
Oculomotor apraxia	HP:0000657
Defective or absent horizontal voluntary eye movements	HP:0000657
Eyelid apraxia	HP:0000658
Difficulty opening the eyelids	HP:0000658
Neurologic abnormalities	HP:0000707
Abnormality of the nervous system	HP:0000707
Neurological abnormality	HP:0000707
Brain and/or spinal cord issue	HP:0000707
Behavioural disturbances	HP:0000708
Behavioral disturbances	HP:0000708
Behavioral changes	HP:0000708
Psychiatric disorders	HP:0000708
Behavioural symptoms	HP:0000708
Behavioral abnormality	HP:0000708
Behavioral problems	HP:0000708
Atypical behavior	HP:0000708
Behavioural/Psychiatric abnormality	HP:0000708
Behavioural disorders	HP:0000708
Behavioural abnormality	HP:0000708
Behavioral symptoms	HP:0000708
Psychiatric disturbances	HP:0000708
Behavioral/psychiatric abnormalities	HP:0000708
Behavioral disorders	HP:0000708
Behavioural problems	HP:0000708
Behavioural/psychiatric abnormality	HP:0000708
Behavioural changes	HP:0000708
Psychosis	HP:0000709
Hyperoralia	HP:0000710
Hyperorality	HP:0000710
Mouthing	HP:0000710
Fidgetiness	HP:0000711
Restlessness	HP:0000711
Restiveness	HP:0000711
Mood swings	HP:0000712
Mood alterations	HP:0000712
Emotional lability	HP:0000712
Emotional instability	HP:0000712
Mood lability	HP:0000712
Mood changes	HP:0000712
Psychomotor agitation	HP:0000713
Agitation	HP:0000713
Depression	HP:0000716
Depressivity	HP:0000716
Depressive disorder	HP:0000716
Depressive episode	HP:0000716
Autism	HP:0000717
Aggressiveness	HP:0000718
physical aggression	HP:0000718
Aggression	HP:0000718
Aggressive behavior	HP:0000718
Inappropriate behaviour	HP:0000719
Inappropriate behavior	HP:0000719
Lack of spontaneous play	HP:0000721
Obsessive-compulsive behavior	HP:0000722
Obsessive compulsive behaviour	HP:0000722
OCD	HP:0000722
Compulsive behaviors	HP:0000722
Obsessive-compulsive behaviour	HP:0000722
Obsessive-compulsive disorder	HP:0000722
Obsessive compulsive behavior	HP:0000722
Obsessive compulsive disorder	HP:0000722
Restrictive behavior	HP:0000723
Restrictive behavior, interests, and activities	HP:0000723
Restricted behaviour	HP:0000723
Restricted behavior	HP:0000723
Psychotic episodes	HP:0000725
Dementia	HP:0000726
Progressive dementia	HP:0000726
Dementia, progressive	HP:0000726
Frontal lobe dementia	HP:0000727
Impaired ability to form peer relationships	HP:0000728
Autistic behavior	HP:0000729
Autistic behaviour	HP:0000729
Autistic behaviors	HP:0000729
Autism spectrum disorder	HP:0000729
Pervasive developmental disorder	HP:0000729
ASD	HP:0000729
Autistic behaviours	HP:0000729
Autism spectrum disorders	HP:0000729
Inflexible adherence to routines	HP:0000732
Repetitive behavior	HP:0000733
Stereotypical motor behaviors	HP:0000733
Stereotypic behaviour	HP:0000733
Repetitive behaviour Stereotypic behaviour	HP:0000733
Motor stereotypy	HP:0000733
Repetitive, stereotypic behavior	HP:0000733
Stereotyped behavior	HP:0000733
Stereotyped behaviour	HP:0000733
Stereotypic behaviours	HP:0000733
Stereotyped	HP:0000733
Stereotyped behaviors	HP:0000733
Stereotyped behaviours	HP:0000733
Abnormal repetitive mannerism	HP:0000733
repetitive behaviour	HP:0000733
Repetitive movements	HP:0000733
Stereotypical motor behavior	HP:0000733
Stereotypical motor behaviour	HP:0000733
Stimming	HP:0000733
Stereotypical motor behaviours	HP:0000733
Impulse control disorders	HP:0000734
Disinhibition	HP:0000734
Self-control	HP:0000734
Easy distractibility	HP:0000736
Short attention span	HP:0000736
Poor attention span	HP:0000736
Problem paying attention	HP:0000736
Easily distracted	HP:0000736
High distractibility	HP:0000736
Irritable mood	HP:0000737
Irritable	HP:0000737
Irritability	HP:0000737
Sensory hallucination	HP:0000738
Hallucination	HP:0000738
Hallucinations	HP:0000738
Anxiety	HP:0000739
Anxiousness	HP:0000739
Excessive, persistent worry and fear	HP:0000739
Anxiety disease	HP:0000739
Episodic paroxysmal anxiety	HP:0000740
State of indifference	HP:0000741
Lack of feeling, emotion, interest, motivation, initiation	HP:0000741
Apathy	HP:0000741
Lack of feeling, emotion, interest	HP:0000741
Self-mutilation	HP:0000742
Deliberate self-harm	HP:0000742
Self mutilation	HP:0000742
Frontal release signs	HP:0000743
Frontal release reflexes	HP:0000743
Low frustration tolerance	HP:0000744
Intolerance to frustration	HP:0000744
Diminished motivation	HP:0000745
Lacks initiative	HP:0000745
Abnormal diminished volition	HP:0000745
Diminished volitional state	HP:0000745
Lacking in initiative	HP:0000745
Lack of motivation	HP:0000745
Lack of initiative	HP:0000745
Diminished energy	HP:0000745
Delusions	HP:0000746
Delusion	HP:0000746
Inappropriate laughter	HP:0000748
Paroxysmal laughter	HP:0000749
Paroxysmal bursts of laughter	HP:0000749
Late-onset speech development	HP:0000750
Speech and language difficulties	HP:0000750
Speech delay	HP:0000750
Poor speech acquisition	HP:0000750
Impaired speech development	HP:0000750
Deficiency of speech development	HP:0000750
Delayed speech development	HP:0000750
Language development deficit	HP:0000750
Delayed speech	HP:0000750
Poor speech development	HP:0000750
Impaired speech and language development	HP:0000750
Speech and language delay	HP:0000750
Delayed language development	HP:0000750
Language delay	HP:0000750
Delayed speech and language development	HP:0000750
Speech difficulties	HP:0000750
Delayed speech acquisition	HP:0000750
Poor language development	HP:0000750
Language delayed	HP:0000750
Personality changes	HP:0000751
Personality change	HP:0000751
More active than typical	HP:0000752
Hyperactive behaviour	HP:0000752
Hyperactive behavior	HP:0000752
hyperkinetic disorder	HP:0000752
Hyperkinetic disorder	HP:0000752
Hyperactivity	HP:0000752
Autism with high cognitive abilities	HP:0000753
Fear of open spaces	HP:0000756
Agoraphobia	HP:0000756
Lack of insight	HP:0000757
Anosognosia	HP:0000757
Impaired use of nonverbal behaviors	HP:0000758
Abnormal nonverbal communicative behavior	HP:0000758
Impaired use of nonverbal behaviours	HP:0000758
Peripheral nervous system disease	HP:0000759
Abnormal peripheral nervous system morphology	HP:0000759
Abnormal peripheral nervous system structure	HP:0000759
Decreased nerve conduction velocity	HP:0000762
Reduced nerve conduction velocities	HP:0000762
Decreased NCV	HP:0000762
Delayed nerve conduction velocity	HP:0000762
Decreased nerve conduction velocities	HP:0000762
Slowed nerve conduction velocities	HP:0000762
Slow nerve conduction velocity	HP:0000762
Damage to nerves that sense feeling	HP:0000763
Sensory neuropathy	HP:0000763
Peripheral sensory neuropathy	HP:0000763
Peripheral axonal degeneration	HP:0000764
Poor eye contact	HP:0000817
Reduced eye contact	HP:0000817
Decreased response to growth hormone stimulation test	HP:0000824
Anterior hypopituitarism	HP:0000830
Increased circulating gonadotropin level	HP:0000837
Elevated serum gonadotropins	HP:0000837
Elevated gonadotropins	HP:0000837
Gonadotropin excess	HP:0000837
Growth hormone excess	HP:0000845
Somatotropin excess	HP:0000845
Elevated circulating somatotropin concentration	HP:0000845
Elevated circulating growth hormone concentration	HP:0000845
Hyperprolactinaemia	HP:0000870
Hyperprolactinemia	HP:0000870
Increased circulating prolactin concentration	HP:0000870
Prolactin excess	HP:0000870
