Abnormality of the breast	HP:0000769
Enlarged male breast	HP:0000771
Gynecomastia	HP:0000771
Gynaecomastia	HP:0000771
Small nipples	HP:0002557
Nipple hypoplasia	HP:0002557
Hypoplastic nipples	HP:0002557
Accessory nipples	HP:0002558
Supernumerary nipples	HP:0002558
Supernumerary nipple	HP:0002558
Increased nipple number	HP:0002558
accessory mamilla	HP:0002558
accessory mamillas	HP:0002558
Accessory nipple	HP:0002558
Absent nipples	HP:0002561
Absent nipple	HP:0002561
Athelia	HP:0002561
Low-set nipples	HP:0002562
Breast cancer	HP:0003002
Breast carcinoma	HP:0003002
Inverted nipples	HP:0003186
Invaginated nipples	HP:0003186
Breast hypoplasia	HP:0003187
Underdeveloped breasts	HP:0003187
Abnormal nipple morphology	HP:0004404
Abnormality of the nipple	HP:0004404
Prominent nipples	HP:0004405
Widely-spaced nipples	HP:0006610
Wide-spaced nipples	HP:0006610
Wide intermamillary distance	HP:0006610
Widely spaced nipples	HP:0006610
Multifocal breast cancer	HP:0006625
Multifocal breast carcinoma	HP:0006625
Absent/small nipples	HP:0006709
Absent/underdeveloped nipples	HP:0006709
Absent/rudimentary nipples	HP:0006709
Nipples absent or rudimentary	HP:0006709
Aplasia/Hypoplasia of the nipples	HP:0006709
Aplasia/Hypoplasia of the breasts	HP:0010311
Absent/underdeveloped breasts	HP:0010311
Absent/small breasts	HP:0010311
Asymmetry of the breasts	HP:0010312
Large breast	HP:0010313
Hypertrophy of the breasts	HP:0010313
Breast enlargement	HP:0010313
Breast hypertrophy	HP:0010313
Macromastia	HP:0010313
Gigantomastia	HP:0010313
Breasts enlarged	HP:0010313
Breast fibroadenomas	HP:0010619
Fibroadenoma of the breast	HP:0010619
Fibroadenosis - breast	HP:0010619
Fibroadenosis of breast	HP:0010619
Breast fibroadenosis	HP:0010619
Breast fibroadenoma	HP:0010619
Unilateral breast hypoplasia	HP:0012813
One underdeveloped breast	HP:0012813
Two underdeveloped breasts	HP:0012814
Bilateral breast hypoplasia	HP:0012814
Mammary duct ectasia	HP:0020224
Breast abscess	HP:0020225
Ductal carcinoma in situ	HP:0030075
Lobular carcinoma in situ	HP:0030076
Abnormal breast morphology	HP:0031093
Abnormal breast physiology	HP:0031094
Agalactia	HP:0031109
Lactation incapacity	HP:0031109
Dry nipple	HP:0031509
Abnormal areolar morphology	HP:0032314
Areolar fullness	HP:0032315
Breast lump	HP:0032408
Breast mass	HP:0032408
Abnormal intermamillary distance	HP:0040157
Short intermamillary distance	HP:0040158
Microcalcifications of the breast	HP:0040403
Breast microcalcification	HP:0040403
Architectural distortion of breast	HP:0040404
Asymmetric thickening of the nipple-areolar complex	HP:0040405
Mastitis	HP:0040407
Diffuse breast nodularity	HP:0040415
Breast tumour	HP:0100013
Breast tumor	HP:0100013
Tumours of the breast	HP:0100013
Neoplasia of the breast	HP:0100013
Neoplasm of the breast	HP:0100013
Breast aplasia	HP:0100783
Congenital absence of breast	HP:0100783
Absent breast	HP:0100783
Mammary gland aplasia	HP:0100783
Spontaneous milk flow from breast	HP:0100829
Galactorrhoea	HP:0100829
Galactorrhea	HP:0100829
Hypoplastic areola	HP:0100853
Hypoplastic areolae	HP:0100853
Lactation duct obstruction	HP:0430075
Mammary blocked duct	HP:0430075
Galactocele	HP:0430075
Abnormal nipple discharge	HP:6000062
Breast intraductal papilloma	HP:6000102
High-set nipples	HP:6000229
Nipple epidermal Paget cells	HP:6000624
Nipple thickening	HP:6000629
Hypoechoic breast nodule	HP:6000630
Hypoechoic breast mass	HP:6000630
Breast myxoma	HP:6000671
Breast adenoma	HP:6000894
Breast apocrine adenoma	HP:6000895
Apocrine adenoma of the breast	HP:6000895
Fibrocystic breast lesion	HP:6000896
Breast cyst	HP:6001046
Decreased urine citrate concentration	None
Hypocitraturia	None
Reduced red cell pyruvate kinase level	None
Reduced erythrocyte pyruvate kinase activity	None
Elevated 8-dehydrocholesterol	None
Exercise-triggered malignant hyperthermia	None
Exertional heat stroke	None
Malignant hyperthermia due to exercise	None
Abnormal glucose-6-phosphate dehydrogenase level in blood	None
Abnormal G6PD level in blood	None
Reduced hepatic carbamoylphosphate synthetase 1 activity	None
Increased level of PAF	None
Increased level of platelet-activating factor	None
Reduced tissue carnitine-acylcarnitine translocase activity	None
Elevated CSF chitotriosidase 1 level	None
Elevated CSF chitotriosidase 1 concentration	None
Hypokalemic metabolic alkalosis	None
Elevated urinary carboxylic acid	None
Hypoammonemia	None
Increased level of N-acetylneuraminic acid in urine	None
Increased level of Neu5Ac in urine	None
Increased level of NANA in urine	None
Increased urinary sialic acid	None
Elevated circulating methionine sulfoxide concentration	None
Abnormal circulating prealbumin concentration	None
Orotic aciduria	None
Increased urinary orotic acid concentration	None
High urine orotic acid levels	None
Oroticaciduria	None
Copper accumulation in liver	None
Liver copper accumulation	None
Positive mumps virus PCR test in the blood circulation	None
Elevated urinary 3-hydroxykynurenine level	None
Decreased CSF threonine concentration	None
Low threonine levels in the cerebrospinal fluid	None
Decreased urinary urate	None
Elevated CSF cholestanol	None
Elevated CSF cholestanol concentration	None
Abnormal energy expenditure	None
Congenital lactic acidosis	None
Positive blood Tylenol test	None
Positive blood paracetamol test	None
Positive blood acetaminophen test	None
Increased uridine diphosphate glucose-4-epimerase level in red blood cells	None
Increased UDP-glucose 4-epimerase level in red blood cells	None
Increased erythrocyte UDP glucose-4-epimerase concentration	None
Increased UDP-glucose 4-epimerase level in RBCs	None
Abnormality of the mitochondrion	None
Mitochondrial abnormalities	None
Decreased HDL3c concentration	None
Positive saliva rabies nucleic acid test	None
Persistent viremia	None
Increased cellular sensitivity to UV light	None
Keratan sulphate excretion in urine	None
Keratan sulfate excretion in urine	None
Abnormal cystatin C level	None
Acute hyperammonemia	None
Hyperammonemia, acute	None
Conjugated hyperbilirubinemia	None
Direct hyperbilirubinemia	None
Transudative pleural effusion	None
Increased anti-gluten IgE antibody level	None
Increased level of anti-gluten IgE antibody	None
Reduced hypoxanthine-guanine phosphoribosyltransferase level	None
Reduced GMP pyrophosphorylase level	None
Reduced 6-hydroxypurine phosphoribosyltransferase level	None
Reduced 6-mercaptopurine phosphoribosyltransferase level	None
Alpha-aminoadipic aciduria	None
2-aminoadipic aciduria	None
Hyperkalemia during attack	None
Hyperkalemia while symptomatic	None
Elevated urinary methylmalonylcarnitine level	None
Sputum infectious agent	None
Elevated blood mercury concentration	None
Abnormal CSF amino acid level	None
Abnormal cerebrospinal fluid amino acid level	None
Abnormal amino acid levels in cerebrospinal fluid	None
Abnormal CSF amino acid concentration	None
Elevated circulating DOPAC concentration	None
Elevated circulating dihydroxyphenylacetic acid concentration	None
Reduced circulating protein Z concentration	None
Abnormal urinary guanosine level	None
Mitochondrial depletion	None
Increased circulating apolipoprotein circulation	None
Monoclonal elevation of IgG heavy chain	None
Decreased circulating beta-C-terminal telopeptide concentration	None
Decreased circulating beta-CrossLaps level	None
Decreased circulating beta-CTx level	None
Decreased circulating beta-C-terminal telopeptide level	None
Absence of ganglioside GM3	None
Abnormal circulating Na concentration	None
Abnormal blood Na+ levels	None
Abnormality of sodium homeostasis	None
Abnormal blood sodium concentration	None
Decreased serum ferritin	None
Decreased circulating ferritin concentration	None
Decreased plasma ferritin	None
Reduced serum ferritin	None
Low ferritin level	None
Increased circulating galectin-3 level	None
Decreased activities of mitochondrial-encoded respiratory chain complexes	None
Decreased activity of mitochondrial respiratory chain	None
Decreased activity of mitochondrial respiratory complexes	None
High methionine levels in cerebrospinal fluid	None
Increased CSF methionine concentration	None
Increased circulating myristoleate level	None
Absent specific antibody response	None
Increased valine in urine	None
Valinuria	None
Increased alpha-globulin	None
Increased CSF L-alloisoleucine concentration	None
L-alloisoleucine high in CSF	None
Positive rubella CSF culture	None
Increased activity of mitochondrial respiratory chain	None
Positive mycobacterium CSF culture	None
Reduced O-mannosyl glycans on alpha-dystroglycan	None
Decreased O-mannosyl glycans on alpha-dystroglycan	None
Quotidian fever	None
Hypernatremic dehydration	None
Elevated circulating succinate	None
Isovalericacidemia	None
Increased circulating isovalerate	None
Increased circulating isovaleric acid concentration	None
Hypertyrosinemia	None
Increased tyrosine in blood	None
Tyrosinemia	None
Hypotaurinemia	None
Reduced taurine levels in the blood	None
Lower blood levels of taurine	None
Decreased circulating taurine levels	None
Reduced serum alpha-1-antitrypsin	None
Reduced circulating alpha-1-antitrypsin concentration	None
High blood calcium levels	None
Hypercalcaemia	None
Hypercalcemia	None
Increased calcium in blood	None
Low neutrophil alkaline phosphatase	None
Elevated circulating carnitine concentration	None
Metabolic ketoacidosis	None
Starvation ketoacidosis	None
Defective B cell activation	None
Postprandial hyperlactemia	None
Phosphoethanolaminuria	None
High urine phosphoethanolamine levels	None
Increased urine O-phosphoethanolamine level	None
Increased level of O-phosphoethanolamine in urine	None
Pleural empyema	None
Pyothorax	None
Partial absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine	None
Hypoamylasemia	None
Decreased circulating amylase level	None
Heavy proteinuria	None
Severely high blood protein levels	None
TTR cardiac amyloidosis	None
Transthyretin cardiac amyloidosis	None
Secretory IgA deficiency	None
Abnormal retinol-binding protein level	None
Elevated urinary vanillactic acid level	None
Abnormal circulating lysine concentration	None
Abnormality of lysine metabolism	None
High serum osmolality	None
Elevated circulating C5 acylcarnitine concentration	None
Accumulation of polyglucosan bodies in the liver	None
Hepatic polyglucosan accumulation	None
Decreased glycosyltransferase O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase level	None
Defective DNA repair after ultraviolet radiation damage	None
Abnormal circulating polysaccharide concentration	None
Chronic decreased IgG2 in blood	None
Chronic decreased circulating IgG2	None
Abnormal natural killer cell physiology	None
Elevated urine glucose tetrasaccharide level	None
Positive Bartonella henselae nucleic acid test in the blood circulation	None
Elevated mitochondrial citrate synthase activity	None
Abnormal circulating biopterin concentration	None
Reduced circulating matrix metalloproteinase 2 concentration	None
Positive serum amyloid P scintigraphy	None
Positive SAP scan	None
Elevated circulating parathyroid hormone level	None
Elevated serum parathyroid hormone level	None
Elevated serum parathyroid hormone	None
Elevated serum pth	None
Increased serum parathyroid hormone	None
Elevated circulating PTH level	None
Abetalipoproteinemia	None
Nonketotic hypoglycemia	None
Polyclonal elevation of IgM	None
Elevated urinary 4-hydroxybutyric acid	None
Increased urinary 8-oxo-7,8-dihydroguanosine level	None
Increased urine 8-oxo-GMP	None
Increased urinary 8-oxo-Gsn level	None
Increased urinary 8-oxo-7,8-dihydroguanosine	None
Increased urine 8-oxo-7,8-dihydroguanosine	None
Increased circulating thyroxine-binding globulin level	None
Thyroxine-binding globulin high in blood	None
Low serum calcitriol	None
Low serum 1,25-dihydroxyvitamin D3	None
Low serum 1,25-dihydroxycholecalciferol	None
Elevated urinary adipic acid	None
Urine issues	None
Pee issues	None
Abnormality of urine homeostasis	None
Reduced uroporphyrinogen decarboxylase activity	None
Transient decreased circulating IgD	None
Transient decreased IgD in blood	None
Low blood Mg levels	None
Hypomagnesemia	None
Low blood magnesium levels	None
Reduced hepatic methionine adenosyltransferase activity	None
Hyperlipidemia	None
Elevated lipids in blood	None
Abnormal protein O-linked glycosylation	None
Macrovesicular steatosis	None
Macrovesicular hepatic steatosis	None
Elevated circulating thymine concentration	None
Reduced erythrocyte uroporphyrinogen III cosynthase activity	None
Increased sarcoplasmic glycogen	None
Reduced erythrocyte bisphosphoglycerate mutase activity	None
Kappa Bence Jones proteinuria	None
High threonine levels in cerebrospinal fluid	None
Increased CSF threonine concentration	None
Abnormal urine colour	None
Abnormal urinary color	None
Abnormal urine color	None
Decreased ADOCBL	None
Decreased circulating adenosylcobalamin concentration	None
Elevated circulating octanoylcarnitine concentration	None
Elevated circulating C8:0 acylcarnitine concentration	None
Abnormality of B cell physiology	None
Reduced B cell function	None
Decreased urinary epinephrine level	None
Diminished urine glutamine level	None
Abnormal serum level of immunoglobulin	None
Abnormal immunoglobulin concentration	None
Abnormal circulating immunoglobulin concentration	None
Abnormal serum immunoglobulin levels	None
Immunoglobulin abnormality	None
Abnormal immunoglobulin level	None
Abnormal serum immunoglobulin concentration	None
Positive urine norpropoxyphene test	None
Decreased phytanic acid:pristanic acid ratio	None
Phytanic acid to pristanic acid ratio low	None
Diaminoaciduria	None
Abnormal serum anion gap	None
Decreased urinary sulphate	None
Decreased urinary sulfate	None
Elevated serum cholesterol	None
Hypercholesterolemia	None
Elevated total cholesterol	None
Increased total cholesterol	None
High cholesterol	None
Hypermanganesemia	None
Increased blood manganese concentration	None
Lack of fat in blood	None
Hypolipoproteinemia	None
Monoclonal elevation of IgG	None
Abnormal esterified to free carnitine ratio	None
Increased level of ribitol in urine	None
Elevated urinary phenylpyruvic acid level	None
Phenylpyruvic acid high in urine	None
Increased concentration of high-mannose-type oligosaccharides in urine	None
Increased urinary high-mannose-type oligosaccharide	None
Elevated circulating sitosterol concentration	None
Elevated circulating beta-sitosterol concentration	None
Increased circulating A-type natriuretic peptide concentration	None
Increased circulating A-type natriuretic peptide level	None
Glutaminuria	None
Hyperglutaminuria	None
Glutamine high in urine	None
Increased hepatitis C virus antibody level	None
Partial absence of specific antibody response to tetanus vaccine	None
Increased urinary glycerol	None
Decreased CSF tetrahydrobiopterin level	None
Poor CD25 upregulation upon TCR activation	None
Reduced IL2RA upregulation upon TCR activation	None
Decreased CD25 upregulation upon TCR activation	None
Predominantly lower limb lymphedema	None
Decreased circulating IgG3 concentration	None
Decreased circulating IgG3 level	None
Decreased IgG3 level in blood	None
Non-glucose reducing substance in urine	None
Elevated circulating beta-glucuronidase activity	None
Diabetes mellitus	None
Elevated circulating calprotectin concentration	None
Low urine phosphate levels	None
Hypophosphaturia	None
Low fatty acids level	None
Decreased circulating free fatty acid level	None
Elevated circulating lathosterol concentration	None
Abnormality of DNA repair	None
Elevated urinary ureidoisobutyric acid level	None
Elevated urine acetoacetic acid level	None
Positive nasopharyngeal corynebacterium diphtheriae nucleic acid test	None
Increased urine 4-hydroxy-2-oxoglutarate level	None
