Lower lip pit	HP:0000196
Labial telangiectasia	HP:0000214
Angioectasias of the lip	HP:0000214
Lip telangiectasia	HP:0000214
Labial angioectasias	HP:0000214
Lip telangiectases	HP:0000214
Spider veins of the lip	HP:0000214
Telangiectasia of the lips	HP:0000214
Gingival hyperkeratosis	HP:0000222
Hyperkeratosis, gingival	HP:0000222
Spider veins of the tongue	HP:0000227
Lingual telangiectasia	HP:0000227
Lingual angioectasias	HP:0000227
Angioectasias of the tongue	HP:0000227
Tongue telangiectasia	HP:0000227
Oral cavity teleangiectasia	HP:0000228
Angioectasias of the oral cavity	HP:0000228
Spider veins of the mouth	HP:0000228
Spider veins of the oral cavity	HP:0000228
Angioectasias of the mouth	HP:0000228
Oral cavity telangiectasia	HP:0000228
Low anterior hairline	HP:0000294
Low frontal hairline	HP:0000294
Low-set frontal hairline	HP:0000294
Hairline peak	HP:0000349
Widow's peak	HP:0000349
V-shaped frontal hairline	HP:0000349
Pointed hairline at front of head	HP:0000349
Pointed frontal hairline	HP:0000349
Hairline point	HP:0000349
Preauricular tags	HP:0000384
Preauricular skin tag	HP:0000384
Ear tag	HP:0000384
Skin tag in front of the ear	HP:0000384
Skin tag on the posterior cheek	HP:0000384
Preauricular acrochordon	HP:0000384
Preauricular skin tags	HP:0000384
Preauricular fibroepithelial polyp	HP:0000384
Periauricular skin tag	HP:0000384
Preauricular tag	HP:0000384
Angioectasia of mucous membrane of nose	HP:0000434
Angioectasia of mucosa of nose	HP:0000434
Nasal mucous membrane telangiectasia	HP:0000434
Spider veins of mucous membrane of nose	HP:0000434
Nasal mucosa telangiectasia	HP:0000434
Angioectasia of nasal mucous membrane	HP:0000434
Telangiectasia of mucosa of nose	HP:0000434
Telangiectasia of mucous membrane of nose	HP:0000434
Telangiectasia of nasal mucous membrane	HP:0000434
Spider veins of nasal mucous membrane	HP:0000434
Spider veins of mucosa of nose	HP:0000434
Abnormal eyelashes	HP:0000499
Abnormal eyelash morphology	HP:0000499
Eyelash abnormality	HP:0000499
Abnormality of the eyelashes	HP:0000499
Conjunctival telangiectasia	HP:0000524
Small dilated blood vessels near membrane covering front of eye and eyelids	HP:0000524
Telangiectasia, conjunctival	HP:0000524
Conjunctival telangiectases	HP:0000524
Long eyelashes	HP:0000527
Ciliary trichomegaly	HP:0000527
Eyelash trichomegaly	HP:0000527
Unusually long eyelashes	HP:0000527
Increased length of eyelashes	HP:0000527
Abnormal eyebrow morphology	HP:0000534
Abnormality of the eyebrow	HP:0000534
Atrichia of eyelashes	HP:0000561
Agenesis of eyelashes	HP:0000561
Absent eyelashes	HP:0000561
Failure of development of eyelashes	HP:0000561
Aplasia of eyelashes	HP:0000561
Thick eyebrow	HP:0000574
Heavy eyebrows	HP:0000574
Hypertrichosis of the eyebrow	HP:0000574
Dense eyebrow	HP:0000574
Prominent eyebrows	HP:0000574
Bushy eyebrows	HP:0000574
Hypertrichosis of the eyebrows	HP:0000574
Thick eyebrows	HP:0000574
Abnormality of hairline at front of head	HP:0000599
Abnormality of the frontal hairline	HP:0000599
Periorbital wrinkles	HP:0000607
Excess periorbital skin wrinkling	HP:0000607
Periorbital rhytids	HP:0000607
Wrinkles around the eyes	HP:0000607
Periorbital wrinkling	HP:0000607
Scant eyelashes	HP:0000653
Partial absence of eyelashes	HP:0000653
Sparse eyelashes	HP:0000653
Thin eyelashes	HP:0000653
Scanty eyelashes	HP:0000653
Hypotrichosis of eyelashes	HP:0000653
Monobrow	HP:0000664
Synophris	HP:0000664
Synophrys	HP:0000664
Unibrow	HP:0000664
Dermatopathy	HP:0000951
Dermopathy	HP:0000951
Abnormality of the skin	HP:0000951
Skin abnormality	HP:0000951
Yellow skin	HP:0000952
Icterus	HP:0000952
Yellowing of the skin	HP:0000952
Jaundice	HP:0000952
Increased skin pigmentation	HP:0000953
Melanoderma	HP:0000953
Hyperpigmentation of the skin	HP:0000953
Patchy darkened skin	HP:0000953
Skin hyperpigmentation	HP:0000953
Cutaneous hyperpigmentation	HP:0000953
Melanodermia	HP:0000953
Hyperpigmented lesion	HP:0000953
Simian creases	HP:0000954
Single palmar crease	HP:0000954
Transverse palmar crease	HP:0000954
Single flexion crease	HP:0000954
Single palmar creases	HP:0000954
Simian crease	HP:0000954
Simian line	HP:0000954
Single transverse palmar creases	HP:0000954
Single transverse palmar crease	HP:0000954
Keratosis nigricans	HP:0000956
Darkened and thickened skin	HP:0000956
Acanthosis nigricans	HP:0000956
Cafe-au-lait macule	HP:0000957
Birthmark	HP:0000957
Flat light-brown mark on skin	HP:0000957
Cafe-au-lait spots	HP:0000957
Cafe au lait spots	HP:0000957
Cafe-au-lait spot	HP:0000957
Cafe-au-lait macules	HP:0000957
Xerosis	HP:0000958
Dry skin	HP:0000958
Pilonidal dimple	HP:0000960
Sacral dimple	HP:0000960
Spinal dimple	HP:0000960
Cyanosis	HP:0000961
Blue discoloration of the skin	HP:0000961
Epidermal hyperkeratosis	HP:0000962
Hyperkeratosis	HP:0000962
Thin skin	HP:0000963
Eczema	HP:0000964
Eczematoid dermatitis	HP:0000964
Cutis marmorata	HP:0000965
Inadequate sweating	HP:0000966
Hypohidrosis	HP:0000966
Decreased sweating	HP:0000966
Decreased ability to sweat	HP:0000966
Sweating, decreased	HP:0000966
Oligohidrosis	HP:0000966
Petechiae	HP:0000967
Ectodermal dysplasia	HP:0000968
Anhidrosis	HP:0000970
Anhydrosis	HP:0000970
Lack of sweating	HP:0000970
Sweating dysfunction	HP:0000970
Sudomotor dysfunction	HP:0000970
Abnormalities of sweating	HP:0000971
Abnormal sweat gland morphology	HP:0000971
Abnormality of the sweat gland	HP:0000971
Sweat gland disease	HP:0000971
Hyperkeratosis of palms and soles	HP:0000972
Hyperkeratosis of the palms and soles	HP:0000972
Thickening of the outer layer of the skin of the palms and soles	HP:0000972
Palmoplantar keratosis	HP:0000972
Thick palms and soles	HP:0000972
Thickened palms and soles	HP:0000972
Palmoplantar keratoses	HP:0000972
Palmoplantar hyperkeratosis	HP:0000972
Inelastic skin	HP:0000973
Dermatomegaly	HP:0000973
Lax skin	HP:0000973
Cutaneous laxity	HP:0000973
Loose and inelastic skin	HP:0000973
Elastolysis	HP:0000973
Generalised elastolysis	HP:0000973
Skin laxity	HP:0000973
Cutis laxa	HP:0000973
Hanging skin	HP:0000973
Dermatochalasia	HP:0000973
Hypoelastic skin	HP:0000973
Chalazoderma	HP:0000973
Loose skin	HP:0000973
Generalized elastolysis	HP:0000973
Stretchable skin	HP:0000974
Skin hyperextensibility	HP:0000974
Hyperelastic skin	HP:0000974
Hyperextensible skin	HP:0000974
Skin hyperelasticity	HP:0000974
Diaphoresis	HP:0000975
Hyperhidrosis	HP:0000975
Sweating, increased	HP:0000975
Profuse sweating	HP:0000975
Sweating profusely	HP:0000975
Increased sweating	HP:0000975
Sweating	HP:0000975
Excessive sweating	HP:0000975
Velvety skin	HP:0000977
Soft skin	HP:0000977
Velvety skin texture	HP:0000977
Bruising susceptibility	HP:0000978
Bruisability	HP:0000978
Easy bruisability	HP:0000978
Easy bruising	HP:0000978
Bruise easily	HP:0000978
Purpura	HP:0000979
Red or purple spots on the skin	HP:0000979
Blood spots	HP:0000979
Paleness	HP:0000980
Skin paleness	HP:0000980
Pallor	HP:0000980
Palmar and plantar keratoderma	HP:0000982
Thickening of palms and soles	HP:0000982
Palmoplantar keratoderma	HP:0000982
Atypical scarring	HP:0000987
Atypical scarring of skin	HP:0000987
Skin rash	HP:0000988
Rash	HP:0000988
Pruritus	HP:0000989
Itching	HP:0000989
Skin itching	HP:0000989
Itchy skin	HP:0000989
Xanthomata	HP:0000991
Yellow bumps of fatty deposits on skin	HP:0000991
Xanthomatosis	HP:0000991
Photosensitive skin rashes	HP:0000992
Photosensitive skin	HP:0000992
Photosensitivity	HP:0000992
Skin photosensitivity	HP:0000992
Sensitivity to sunlight	HP:0000992
Cutaneous photosensitivity	HP:0000992
Sun sensitivity	HP:0000992
Molluscoid pseudotumor	HP:0000993
Molluscoid pseudotumors	HP:0000993
Pigmented nevi	HP:0000995
Melanocytic nevus	HP:0000995
Melanocytic naevus	HP:0000995
Pigmented naevi	HP:0000995
Noncancerous mole	HP:0000995
Melanocytic nevi	HP:0000995
Beauty mark	HP:0000995
Nevocellular nevi	HP:0000995
Axillary freckling	HP:0000997
Hypertrichosis	HP:0000998
Excessive hair growth	HP:0000998
Increased hair growth on body	HP:0000998
Pyoderma	HP:0000999
Pus-filled lesion	HP:0000999
Abnormal skin pigmentation	HP:0001000
Abnormality of skin pigmentation	HP:0001000
Pigmentary changes	HP:0001000
Pigmentary skin changes	HP:0001000
Abnormal skin color	HP:0001000
Pigmentation anomaly	HP:0001000
Abnormal pigmentation	HP:0001000
Abnormality of pigmentation	HP:0001000
Abnormal skin colour	HP:0001000
Abnormality of fatty tissue below the skin	HP:0001001
Abnormality of subcutaneous fat tissue	HP:0001001
Multiple lentigines	HP:0001003
Liver spots	HP:0001003
Dermatological manifestations of systemic disorders	HP:0001005
Excessive hairiness	HP:0001007
Hirsutism	HP:0001007
Accumulation of melanosomes in melanocytes	HP:0001008
Telangiectasia	HP:0001009
Telangiectases	HP:0001009
Spider veins	HP:0001009
Hypopigmentation	HP:0001010
Patchy lightened skin	HP:0001010
Hypopigmentation of the skin	HP:0001010
Hypopigmented skin	HP:0001010
Skin hypopigmentation	HP:0001010
Eruptive xanthomas	HP:0001013
Angiokeratoma	HP:0001014
Angiokeratomas	HP:0001014
Marked subcutaneous veins	HP:0001015
Prominent superficial veins	HP:0001015
Prominent veins	HP:0001015
Anaemic pallor	HP:0001017
Anemic pallor	HP:0001017
Abnormal palmar dermatoglyphics	HP:0001018
Generalised erythroderma	HP:0001019
Generalised erythrodermia	HP:0001019
Generalized erythroderma	HP:0001019
Red scaly skin caused by inflammatory skin disease	HP:0001019
Erythroderma	HP:0001019
Generalized erythrodermia	HP:0001019
Exfoliative dermititis	HP:0001019
Achromasia	HP:0001022
Albinism	HP:0001022
Skin dimple over apex of long bone angulation	HP:0001024
Hives	HP:0001025
Urticaria	HP:0001025
Penetrating foot ulcers	HP:0001026
Soft, doughy skin	HP:0001027
Poikiloderma	HP:0001029
Skin fragility	HP:0001030
Fragile skin	HP:0001030
Subcutaneous lipoma	HP:0001031
Facial flushing after alcohol intake	HP:0001033
Hyperpigmented spots	HP:0001034
Hyperpigmented macules	HP:0001034
Hypermelanotic macule	HP:0001034
Hyperpigmented skin patches	HP:0001034
Parakeratosis	HP:0001036
Warfarin-induced skin necrosis	HP:0001038
Atheroeruptive xanthoma	HP:0001039
Multiple pterygia	HP:0001040
Red in the face	HP:0001041
Rosacea	HP:0001041
Blushing	HP:0001041
Facial erythema	HP:0001041
